종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2020.12),추정PERlEPS,PBRlBPS (2020.12),배당수익률,동일업종 PER,동일업종 등락률,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),PERlEPS(2021.03),PBRlBPS (2021.03),배당수익률l2020.12,PERlEPS(2021.05),PBRlBPS (2021.05),배당수익률l2020.11,PERlEPS(2020.06),PBRlBPS (2020.06)
국전약품 *,9010.0,820.0,+10.01%,8190.0,8200.0,4411311.0,38181.0,37992088.0,2021-07-30,국전약품,307750,"4,554  억원",코스닥 208위,49069269,100원  l  1주,49069269,51114,0.10%,N/A  l  N/A,"12,866  l  2,234",N/A  l  -80원,N/A  l  N/A,11.53배  l  805원,,104.30배,-1.39%,,,,,,,,,,,,,,,,,,,,,,,,
큐라클 *,39950.0,3300.0,+9.00%,37200.0,37250.0,1704769.0,67542.0,9039645.0,2021-07-30,큐라클,365270,"5,095  억원",코스닥 176위,13355968,500원  l  1주,13355968,87019,0.65%,N/A  l  N/A,"39,600  l  28,500","N/A  l  -2,624원",N/A  l  N/A,45.31배  l  842원,,104.30배,-1.36%,,,,,,,,,,,,,,,,,,,,,,,,
대웅제약,173500.0,5500.0,+3.27%,169500.0,170000.0,48820.0,8464.0,140684.0,2021-07-30,대웅제약,069620,"1조  9,813  억원",코스피 151위,11586575,"2,500원  l  1주",11586575,610972,5.27%,"3.86매수  l  201,429","286,500  l  88,200",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,N/A  l  -952원,"3.44배  l  49,699원",0.35%,,,,,
JW중외제약우,41700.0,800.0,+1.96%,41000.0,42000.0,27.0,1.0,312.0,2021-07-30,JW중외제약우,001065,73  억원,코스피 1490위,177486,"2,500원  l  1주",177486,532,0.30%,N/A  l  N/A,"117,088  l  28,200",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -370원,"4.54배  l  9,038원",0.85%,,,,,
카이노스메드 *,3330.0,60.0,+1.83%,3270.0,3300.0,17122.0,57.0,215564.0,2021-07-30,카이노스메드,284620,"3,462  억원",코스닥 302위,105242808,100원  l  1주,105242808,4202495,3.99%,N/A  l  N/A,"6,730  l  3,210",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -128원,34.63배  l  95원,,,,,,
대웅,37900.0,600.0,+1.61%,37600.0,37700.0,48430.0,1831.0,283692.0,2021-07-30,대웅,003090,"2조  1,832  억원",코스피 143위,58141980,500원  l  1주,58141980,2093166,3.60%,"3.00중립  l  38,000","86,700  l  20,700",,N/A  l  N/A,,,104.30배,-1.44%,3530.0,414.0,263.0,11.73,7.45,,,,,375.0,98.28,,,,,,"25.37배  l  1,480원","2.36배  l  15,897원",0.27%,,,,,
퓨쳐켐 *,16050.0,250.0,+1.58%,15800.0,16200.0,17505.0,281.0,222679.0,2021-07-30,퓨쳐켐,220100,"2,142  억원",코스닥 517위,13645971,500원  l  1주,13645971,228657,1.68%,N/A  l  N/A,"25,849  l  7,830",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"N/A  l  -1,574원","3.65배  l  4,302원",,,,,,
더블유에스아이 *,3280.0,50.0,+1.55%,3220.0,3285.0,2402.0,8.0,30295.0,2021-07-30,더블유에스아이,299170,949  억원,코스닥 1030위,29237963,100원  l  1주,29237963,105330,0.36%,N/A  l  N/A,"5,800  l  1,975",N/A  l  -58원,N/A  l  N/A,3.63배  l  895원,,104.30배,-1.44%,,,,,,,,,,,,,,,,,,,,,,,,
안트로젠 *,78000.0,1100.0,+1.43%,77100.0,77400.0,36569.0,2815.0,526533.0,2021-07-30,안트로젠,065660,"7,227  억원",코스닥 106위,9421845,500원  l  1주,9421845,1063261,11.29%,N/A  l  N/A,"80,000  l  41,800",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -687원,"7.85배  l  9,768원",,,,,,
팜젠사이언스,11750.0,150.0,+1.29%,11600.0,11700.0,6057.0,70.0,165665.0,2021-07-30,팜젠사이언스,004720,"1,677  억원",코스피 683위,14712933,500원  l  1주,14712933,249504,1.70%,N/A  l  N/A,"33,650  l  7,380",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,"4.99배  l  2,283원","1.56배  l  7,326원",,,,,,
박셀바이오 *,81700.0,1000.0,+1.24%,82400.0,83000.0,26640.0,2175.0,215603.0,2021-07-30,박셀바이오,323990,"1조  2,315  억원",코스닥 49위,15223000,500원  l  1주,15223000,594539,3.91%,N/A  l  N/A,"299,700  l  10,225",N/A  l  -293원,N/A  l  N/A,"35.76배  l  2,262원",,104.30배,-1.39%,,,,,,,,,,,,,,,,,,,,,,,,
유유제약2우B,26800.0,300.0,+1.13%,26500.0,26750.0,162.0,4.0,1096.0,2021-07-30,유유제약2우B,000227,86  억원,코스피 1437위,325560,"1,000원  l  1주",325560,144,0.04%,N/A  l  N/A,"59,000  l  13,315",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -36원,"4.09배  l  6,438원",0.42%,,,,,
에이치엘비제약 *,16850.0,150.0,+0.90%,16700.0,16800.0,41166.0,686.0,764566.0,2021-07-30,에이치엘비제약,047920,"3,588  억원",코스닥 289위,22357821,500원  l  1주,22357821,214918,0.96%,N/A  l  N/A,"21,500  l  5,400",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,"N/A  l  -4,382원","5.63배  l  2,851원",,,,,,
에이프로젠제약,1245.0,10.0,+0.81%,1235.0,1245.0,113000.0,139.0,1239883.0,2021-07-30,에이프로젠제약,003060,"4,883  억원",코스피 362위,398575767,500원  l  1주,398575767,16573833,4.16%,N/A  l  N/A,"1,900  l  1,010",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,45.37배  l  27원,"0.97배  l  1,265원",,,,,,
브릿지바이오테라퓨틱스 *,12950.0,100.0,+0.78%,12950.0,13000.0,3223.0,42.0,45023.0,2021-07-30,브릿지바이오테라퓨틱스,288330,"2,528  억원",코스닥 426위,19593634,500원  l  1주,19593634,209685,1.07%,N/A  l  N/A,"19,300  l  9,577",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,N/A  l  -938원,"4.29배  l  3,009원",,,,,,
이연제약,54000.0,400.0,+0.75%,53900.0,54000.0,28010.0,1505.0,538713.0,2021-07-30,이연제약,102460,"9,377  억원",코스피 244위,17998577,500원  l  1주,17998577,330580,1.84%,N/A  l  N/A,"77,700  l  15,104",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,188.09배  l  277원,"4.04배  l  12,886원",0.38%,,,,,
경보제약,13600.0,100.0,+0.74%,13500.0,13550.0,4411.0,59.0,196127.0,2021-07-30,경보제약,214390,"3,227  억원",코스피 474위,23906860,500원  l  1주,23906860,190888,0.80%,N/A  l  N/A,"22,600  l  9,080",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,36.19배  l  373원,"2.08배  l  6,496원",0.74%,,,,,
에스씨엠생명과학 *,29000.0,200.0,+0.69%,27800.0,29000.0,1559.0,45.0,50851.0,2021-07-30,에스씨엠생명과학,298060,"3,480  억원",코스닥 297위,12021854,500원  l  1주,12021854,908159,7.55%,N/A  l  N/A,"60,300  l  26,700",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"N/A  l  -1,208원","6.05배  l  4,785원",,,,,,
현대약품,6690.0,40.0,+0.60%,6640.0,6660.0,9656.0,64.0,91390.0,2021-07-30,현대약품,004310,"2,112  억원",코스피 619위,32000000,500원  l  1주,32000000,357974,1.12%,N/A  l  N/A,"11,000  l  5,420",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,,,,N/A  l  -44원,"2.03배  l  3,254원",0.64%,,
서울제약 *,8880.0,50.0,+0.57%,8840.0,8850.0,2574.0,23.0,36222.0,2021-07-30,서울제약,018680,782  억원,코스닥 1162위,8524523,500원  l  1주,8524523,138120,1.62%,N/A  l  N/A,"16,000  l  7,780",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -2원,"2.96배  l  3,103원",,,,,,
녹십자홀딩스2우,71900.0,400.0,+0.56%,72000.0,72900.0,17.0,1.0,865.0,2021-07-30,녹십자홀딩스2우,005257,595  억원,코스피 989위,845990,500원  l  1주,845990,976,0.12%,N/A  l  N/A,"287,000  l  68,900",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,"18.66배  l  3,768원","3.45배  l  20,348원",0.71%,,,,,
JW신약 *,4950.0,25.0,+0.51%,4925.0,4950.0,1901.0,9.0,46036.0,2021-07-30,JW신약,067290,"2,153  억원",코스닥 513위,43936858,500원  l  1주,43936858,710663,1.62%,N/A  l  N/A,"7,248  l  4,590",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -65원,"3.85배  l  1,273원",,,,,,
에이치엘비생명과학 *,10200.0,50.0,+0.49%,10150.0,10200.0,119919.0,1215.0,639069.0,2021-07-30,에이치엘비생명과학,067630,"9,889  억원",코스닥 66위,94180906,500원  l  1주,94180906,6461195,6.86%,N/A  l  N/A,"18,700  l  7,249",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,N/A  l  -487원,"3.64배  l  2,885원",,,,,,
녹십자홀딩스,31800.0,150.0,+0.47%,31300.0,31350.0,27065.0,862.0,115026.0,2021-07-30,녹십자홀딩스,005250,"1조  4,696  억원",코스피 180위,47028210,500원  l  1주,47028210,2222871,4.73%,N/A  l  N/A,"56,300  l  21,400",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"8.29배  l  3,768원","1.54배  l  20,348원",1.60%,,,,,
대봉엘에스 *,11000.0,50.0,+0.46%,10800.0,10950.0,494.0,5.0,26127.0,2021-07-30,대봉엘에스,078140,"1,203  억원",코스닥 862위,11086579,500원  l  1주,11086579,275398,2.48%,N/A  l  N/A,"16,200  l  9,300",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,22.37배  l  485원,"1.14배  l  9,504원",0.46%,,,,,
휴온스글로벌 *,65800.0,300.0,+0.46%,65500.0,66000.0,1912.0,125.0,53504.0,2021-07-30,휴온스글로벌,084110,"7,940  억원",코스닥 95위,12030289,500원  l  1주,12030289,1146128,9.53%,N/A  l  N/A,"82,300  l  25,900",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,"18.44배  l  3,579원","1.89배  l  34,995원",0.58%,,,,,
팜스빌 *,11200.0,50.0,+0.45%,11100.0,11150.0,3099.0,35.0,65465.0,2021-07-30,팜스빌,318010,872  억원,코스닥 1100위,7929338,500원  l  1주,7929338,49702,0.63%,N/A  l  N/A,"14,200  l  9,850",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,39.86배  l  276원,"1.54배  l  7,138원",0.91%,,,,,
고려제약 *,11300.0,50.0,+0.44%,11200.0,11250.0,1219.0,14.0,54722.0,2021-07-30,고려제약,014570,"1,216  억원",코스닥 853위,11000000,500원  l  1주,11000000,680789,6.19%,N/A  l  N/A,"13,350  l  9,210",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,13.12배  l  842원,"1.68배  l  6,597원",1.36%,,,,,
코미팜 *,11750.0,50.0,+0.43%,11700.0,11800.0,15881.0,186.0,146545.0,2021-07-30,코미팜,041960,"7,381  억원",코스닥 103위,64185876,100원  l  1주,64185876,2938797,4.58%,N/A  l  N/A,"18,200  l  9,990",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -16원,"9.50배  l  1,211원",,,,,,
경남제약 *,7160.0,30.0,+0.42%,7160.0,7210.0,30654.0,220.0,479103.0,2021-07-30,경남제약,053950,"1,393  억원",코스닥 764위,19757737,500원  l  1주,19757737,282651,1.43%,N/A  l  N/A,"13,400  l  6,640",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -209원,"2.01배  l  3,506원",,,,,,
이글벳 *,8440.0,30.0,+0.36%,8410.0,8440.0,8049.0,67.0,55222.0,2021-07-30,이글벳,044960,"1,066  억원",코스닥 941위,12641883,500원  l  1주,12641883,171292,1.35%,N/A  l  N/A,"13,200  l  6,900",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,35.87배  l  235원,"2.69배  l  3,135원",0.47%,,,,,
광동제약,8880.0,30.0,+0.34%,8800.0,8850.0,2134.0,18.0,105554.0,2021-07-30,광동제약,009290,"4,665  억원",코스피 371위,52420851,"1,000원  l  1주",52420851,11314426,21.58%,N/A  l  N/A,"13,350  l  8,110",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,11.42배  l  779원,"0.76배  l  11,699원",1.12%,,,,,
씨케이에이치 *,302.0,1.0,+0.33%,300.0,304.0,10328.0,3.0,169506.0,2021-07-30,씨케이에이치,900120,346  억원,코스닥 1411위,116745963,0.05 USD  l  1주,116745963,28195828,24.15%,N/A  l  N/A,579  l  198,,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -506원,"0.09배  l  3,239원",,,,,,
삼아제약 *,16250.0,50.0,+0.31%,16150.0,16200.0,26.0,0.0,1561.0,2021-07-30,삼아제약,009300,"1,019  억원",코스닥 983위,6370000,"1,000원  l  1주",6370000,25904,0.41%,N/A  l  N/A,"23,900  l  14,300",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -259원,"0.58배  l  27,366원",1.88%,,,,,
하이텍팜 *,17100.0,50.0,+0.29%,17000.0,17150.0,2960.0,50.0,36497.0,2021-07-30,하이텍팜,106190,"1,237  억원",코스닥 845위,7088782,500원  l  1주,7088782,3089835,43.59%,N/A  l  N/A,"29,450  l  10,000",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,N/A  l  -374원,"1.30배  l  13,436원",0.29%,,,,,
드림씨아이에스 *,17000.0,50.0,+0.29%,17000.0,17450.0,734.0,13.0,9563.0,2021-07-30,드림씨아이에스,223250,945  억원,코스닥 1033위,5659054,500원  l  1주,5659054,359956,6.36%,N/A  l  N/A,"27,800  l  14,400",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,17.34배  l  963원,"2.52배  l  6,623원",,,,,,
동아에스티,82000.0,200.0,+0.24%,82000.0,82300.0,1438.0,117.0,34190.0,2021-07-30,동아에스티,170900,"6,831  억원",코스피 300위,8443868,"5,000원  l  1주",8443868,1617392,19.15%,"4.00매수  l  115,000","108,500  l  80,300",,"29.00배  l  2,801원",,,104.30배,-1.36%,1489.0,113.0,89.0,7.59,5.98,,,,,,,,,,,,"N/A  l  -2,199원","1.08배  l  74,990원",1.24%,,,,,
제일약품,41750.0,100.0,+0.24%,41650.0,42100.0,2275.0,94.0,45710.0,2021-07-30,제일약품,271980,"6,125  억원",코스피 318위,14704872,500원  l  1주,14704872,400562,2.72%,N/A  l  N/A,"119,000  l  37,600",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,344.21배  l  121원,"3.45배  l  12,056원",0.17%,,,,,
한독,27050.0,50.0,+0.19%,27000.0,27200.0,236.0,6.0,14693.0,2021-07-30,한독,002390,"3,682  억원",코스피 437위,13763533,500원  l  1주,13763533,364666,2.65%,N/A  l  N/A,"44,750  l  25,850",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"12.46배  l  2,147원","0.97배  l  27,703원",1.12%,,,,,
셀트리온,262000.0,500.0,+0.19%,262500.0,263000.0,27501.0,7176.0,234784.0,2021-07-30,셀트리온,068270,"35조  3,066  억원",코스피 10위,137916534,"1,000원  l  1주",137916534,28097505,20.37%,"4.00매수  l  373,333","396,239  l  229,299",,"45.00배  l  5,670원",,,104.30배,-1.44%,5199.0,2263.0,1740.0,43.53,33.47,,,,,1278.0,204.61,,,,,,"58.73배  l  4,359원","9.95배  l  25,720원",,,,,,
삼천당제약 *,56000.0,100.0,+0.18%,56400.0,56500.0,56392.0,3147.0,1863415.0,2021-07-30,삼천당제약,000250,"1조  2,887  억원",코스닥 45위,22768041,500원  l  1주,22768041,1444245,6.34%,"4.00매수  l  62,000","95,700  l  46,850",,N/A  l  N/A,,,104.30배,-1.44%,419.0,11.0,,2.63,,,,,,,,,,,,,N/A  l  -286원,"6.85배  l  8,263원",,,,,,
영진약품,5620.0,10.0,+0.18%,5510.0,5610.0,40272.0,225.0,241357.0,2021-07-30,영진약품,003520,1조  77  억원,코스피 231위,182892731,500원  l  1주,182892731,7475131,4.09%,N/A  l  N/A,"12,800  l  5,590",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -21원,8.94배  l  616원,,,,,,
코오롱생명과학 *,31350.0,50.0,+0.16%,31300.0,32500.0,6622.0,207.0,118781.0,2021-07-30,코오롱생명과학,102940,"3,538  억원",코스닥 291위,11412356,500원  l  1주,11412356,233831,2.05%,N/A  l  N/A,"36,800  l  17,850",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"N/A  l  -3,508원","6.12배  l  5,069원",,,,,,
알리코제약 *,9470.0,10.0,+0.11%,9460.0,9540.0,2688.0,25.0,80442.0,2021-07-30,알리코제약,260660,"1,438  억원",코스닥 741위,15327021,500원  l  1주,15327021,256941,1.68%,N/A  l  N/A,"11,750  l  7,188",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,19.46배  l  482원,"1.80배  l  5,225원",0.68%,,,,,
노바렉스 *,48700.0,50.0,+0.10%,48650.0,49100.0,1422.0,69.0,49465.0,2021-07-30,노바렉스,194700,"4,380  억원",코스닥 219위,9003740,500원  l  1주,9003740,138964,1.54%,"4.00매수  l  58,000","50,700  l  35,800",,"14.00배  l  3,476원",,,104.30배,-1.44%,689.0,81.0,75.0,11.8,10.85,,,,,759.0,64.1,,,,,,"16.36배  l  2,974원","3.20배  l  15,211원",0.62%,,,,,
유한양행우,60000.0,0.0,0.00%,59600.0,60100.0,18.0,1.0,854.0,2021-07-30,유한양행우,000105,705  억원,코스피 938위,1180940,"1,000원  l  1주",1180940,0,0.00%,"4.00매수  l  87,444","81,098  l  54,100",,"45.00배  l  1,340원",,,104.30배,-1.39%,4353.0,199.0,252.0,4.58,5.8,,,,,335.0,183.78,,,,,,"43.54배  l  1,371원","2.11배  l  28,351원",0.69%,,,,,
일동홀딩스,13500.0,0.0,0.00%,13450.0,13500.0,500.0,6.0,5929.0,2021-07-30,일동홀딩스,000230,"1,541  억원",코스피 714위,11540400,"1,000원  l  1주",11540400,236833,2.05%,N/A  l  N/A,"17,350  l  8,600",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"N/A  l  -2,605원","1.44배  l  9,274원",0.75%,,,,,
삼일제약,9100.0,0.0,0.00%,9050.0,9130.0,556.0,5.0,14289.0,2021-07-30,삼일제약,000520,"1,218  억원",코스피 796위,13410862,500원  l  1주,13410862,302513,2.26%,N/A  l  N/A,"14,150  l  8,990",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,908.00배  l  10원,"1.77배  l  5,124원",0.83%,,,,,
