종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2020.12),추정PERlEPS,PBRlBPS (2020.12),배당수익률,동일업종 PER,동일업종 등락률,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),PERlEPS(2021.03),PBRlBPS (2021.03),배당수익률l2020.12,PERlEPS(2021.05),PBRlBPS (2021.05),배당수익률l2020.11,PERlEPS(2020.06),PBRlBPS (2020.06)
JW중외제약2우B,61300.0,0.0,0.00%,60500.0,62000.0,0.0,0.0,223.0,2021-07-30,JW중외제약2우B,001067,57  억원,코스피 1549위,93028,"2,500원  l  1주",93028,551,0.59%,N/A  l  N/A,"170,588  l  50,155",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -370원,"6.78배  l  9,038원",0.53%,,,,,
제일파마홀딩스,21200.0,0.0,0.00%,21200.0,21350.0,473.0,10.0,15008.0,2021-07-30,제일파마홀딩스,002620,"3,370  억원",코스피 466위,15973355,500원  l  1주,15973355,1562751,9.78%,N/A  l  N/A,"33,000  l  17,150",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,41.29배  l  511원,"0.78배  l  26,887원",0.33%,,,,,
일성신약,82500.0,0.0,0.00%,82100.0,82800.0,87.0,7.0,950.0,2021-07-30,일성신약,003120,"2,194  억원",코스피 608위,2660000,"5,000원  l  1주",2660000,65516,2.46%,N/A  l  N/A,"102,000  l  76,100",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,"N/A  l  -1,119원","0.37배  l  222,445원",0.91%,,,,,
한미사이언스,74000.0,0.0,0.00%,74500.0,74700.0,13282.0,981.0,94680.0,2021-07-30,한미사이언스,008930,"4조  8,594  억원",코스피 66위,67304611,500원  l  1주,67304611,1130574,1.68%,N/A  l  N/A,"96,600  l  39,872",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,175.67배  l  411원,"7.22배  l  9,997원",0.27%,,,,,
신일제약 *,15300.0,0.0,0.00%,15250.0,15300.0,1962.0,30.0,23828.0,2021-07-30,신일제약,012790,"1,823  억원",코스닥 602위,11217186,500원  l  1주,11217186,96804,0.86%,N/A  l  N/A,"46,113  l  12,850",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,28.07배  l  579원,"1.64배  l  9,924원",0.60%,,,,,
바이온 *,1320.0,0.0,0.00%,1315.0,1340.0,8608.0,12.0,184739.0,2021-07-30,바이온,032980,876  억원,코스닥 1095위,66900777,500원  l  1주,66900777,2273815,3.40%,N/A  l  N/A,"2,475  l  970",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -105원,2.15배  l  609원,,,,,,
대한뉴팜 *,11350.0,0.0,0.00%,11400.0,11450.0,5598.0,63.0,56559.0,2021-07-30,대한뉴팜,054670,"1,615  억원",코스닥 661위,14354920,500원  l  1주,14354920,0,0.00%,N/A  l  N/A,"15,950  l  10,350",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -667원,"2.59배  l  4,336원",,,,,,
종근당바이오,56900.0,0.0,0.00%,56700.0,56900.0,4842.0,276.0,216629.0,2021-07-30,종근당바이오,063160,"3,143  억원",코스피 479위,5485962,"2,500원  l  1주",5485962,54710,1.00%,N/A  l  N/A,"119,000  l  37,500",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,177.40배  l  323원,"1.90배  l  30,195원",0.35%,,,,,
대화제약 *,11800.0,0.0,0.00%,11800.0,11900.0,857.0,10.0,22981.0,2021-07-30,대화제약,067080,"2,187  억원",코스닥 501위,18616650,500원  l  1주,18616650,634487,3.41%,N/A  l  N/A,"23,000  l  11,500",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,N/A  l  -79원,"2.52배  l  4,659원",1.28%,,,,,
중앙백신 *,17150.0,0.0,0.00%,17200.0,17250.0,1924.0,33.0,46488.0,2021-07-30,중앙백신,072020,"1,703  억원",코스닥 631위,9960000,500원  l  1주,9960000,198503,1.99%,N/A  l  N/A,"22,100  l  15,450",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,54.63배  l  313원,"1.90배  l  8,977원",0.41%,,,,,
진바이오텍 *,6730.0,0.0,0.00%,6650.0,6730.0,4887.0,33.0,106337.0,2021-07-30,진바이오텍,086060,575  억원,코스닥 1307위,8610587,500원  l  1주,8610587,267807,3.11%,N/A  l  N/A,"8,220  l  4,890",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -351원,"1.30배  l  5,135원",0.45%,,,,,
내츄럴엔도텍 *,2525.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,2021-07-30,내츄럴엔도텍,168330,696  억원,코스닥 1235위,27573528,500원  l  1주,27573528,678735,2.46%,N/A  l  N/A,0  l  0,,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -72원,"2.13배  l  1,184원",,,,,,
비씨월드제약 *,19300.0,0.0,0.00%,19400.0,19500.0,8251.0,160.0,176787.0,2021-07-30,비씨월드제약,200780,"1,730  억원",코스닥 627위,8892384,200원  l  1주,8892384,124145,1.40%,N/A  l  N/A,"28,650  l  16,250",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,65.93배  l  295원,"1.63배  l  11,949원",0.51%,,,,,
JW생명과학,18550.0,0.0,0.00%,18550.0,18650.0,1272.0,23.0,23654.0,2021-07-30,JW생명과학,234080,"2,929  억원",코스피 502위,15834554,"2,500원  l  1주",15834554,581443,3.67%,N/A  l  N/A,"24,000  l  17,850",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,18.63배  l  993원,"2.26배  l  8,186원",2.70%,,,,,
메드팩토 *,62500.0,0.0,0.00%,62500.0,62800.0,11327.0,705.0,152459.0,2021-07-30,메드팩토,235980,"1조  2,552  억원",코스닥 48위,20510342,500원  l  1주,20510342,1113853,5.43%,N/A  l  N/A,"134,200  l  62,400",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,"N/A  l  -1,098원","22.40배  l  2,732원",,,,,,
하나제약,21700.0,0.0,0.00%,21650.0,21700.0,678.0,14.0,17376.0,2021-07-30,하나제약,293480,"3,821  억원",코스피 426위,17772946,500원  l  1주,17772946,93498,0.53%,N/A  l  N/A,"26,540  l  19,837",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,27.71배  l  776원,"1.63배  l  13,201원",2.16%,,,,,
위더스제약 *,13700.0,0.0,0.00%,13850.0,13900.0,6060.0,84.0,49662.0,2021-07-30,위더스제약,330350,"1,873  억원",코스닥 590위,13188622,200원  l  1주,13188622,47025,0.36%,N/A  l  N/A,"19,566  l  11,433",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,30.28배  l  469원,"2.40배  l  5,909원",0.22%,,,,,
네오이뮨텍(Reg.S) *,10300.0,0.0,0.00%,10250.0,10300.0,31926.0,327.0,311458.0,2021-07-30,네오이뮨텍(Reg.S),950220,"9,987  억원",코스닥 64위,98392010,,98392010,7884377,8.01%,N/A  l  N/A,"17,450  l  9,980",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -428원,"5.32배  l  1,909원",,,,,,
동구바이오제약 *,9480.0,10.0,-0.11%,9280.0,9400.0,8499.0,80.0,170643.0,2021-07-30,동구바이오제약,006620,"2,667  억원",코스닥 398위,28464992,500원  l  1주,28464992,114631,0.40%,N/A  l  N/A,"16,074  l  7,106",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,33.58배  l  279원,"2.82배  l  3,321원",0.36%,,,,,
JW홀딩스,4470.0,5.0,-0.11%,4475.0,4480.0,1448.0,6.0,64882.0,2021-07-30,JW홀딩스,096760,"3,039  억원",코스피 486위,68441182,500원  l  1주,68441182,1532726,2.24%,N/A  l  N/A,"7,000  l  4,335",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,15.80배  l  281원,"2.08배  l  2,139원",1.97%,,,,,
테라젠이텍스 *,8190.0,10.0,-0.12%,8200.0,8250.0,4414.0,36.0,101880.0,2021-07-30,테라젠이텍스,066700,"2,656  억원",코스닥 400위,32474435,500원  l  1주,32474435,513509,1.58%,N/A  l  N/A,"14,550  l  7,800",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -298원,"0.86배  l  9,502원",,,,,,
에이치엘사이언스 *,38550.0,50.0,-0.13%,38300.0,38600.0,174.0,7.0,3226.0,2021-07-30,에이치엘사이언스,239610,"2,141  억원",코스닥 520위,5392115,500원  l  1주,5392115,37757,0.70%,N/A  l  N/A,"55,801  l  37,200",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"12.43배  l  3,193원","2.16배  l  18,381원",0.96%,,,,,
제일바이오 *,3550.0,5.0,-0.14%,3600.0,3605.0,30102.0,107.0,457592.0,2021-07-30,제일바이오,052670,"1,063  억원",코스닥 947위,29129064,500원  l  1주,29129064,311690,1.07%,N/A  l  N/A,"5,825  l  3,062",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,73.00배  l  50원,"2.69배  l  1,358원",,,,,,
일양약품우,34100.0,50.0,-0.15%,34000.0,34500.0,44.0,1.0,1557.0,2021-07-30,일양약품우,007575,150  억원,코스피 1264위,445080,"2,500원  l  1주",445080,2090,0.47%,N/A  l  N/A,"144,000  l  30,950",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,82.04배  l  412원,"3.05배  l  11,066원",0.43%,,,,,
휴온스 *,60900.0,100.0,-0.16%,61000.0,61300.0,3588.0,218.0,27640.0,2021-07-30,휴온스,243070,"6,592  억원",코스닥 118위,10859671,500원  l  1주,10859671,2206981,20.32%,"4.00매수  l  75,500","86,500  l  49,420",,N/A  l  N/A,,,104.30배,-1.44%,1130.0,158.0,,13.99,,,,,,884.0,69.0,,,,,,"12.00배  l  5,058원","2.70배  l  22,483원",0.90%,,,,,
JW중외제약,28500.0,50.0,-0.18%,28550.0,28700.0,6108.0,173.0,25945.0,2021-07-30,JW중외제약,001060,"6,182  억원",코스피 316위,21539926,"2,500원  l  1주",21539926,1233680,5.73%,N/A  l  N/A,"44,632  l  27,650",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,N/A  l  -370원,"3.18배  l  9,038원",1.10%,,,,,
유나이티드제약,53300.0,100.0,-0.19%,53600.0,53900.0,7995.0,427.0,116270.0,2021-07-30,유나이티드제약,033270,"8,610  억원",코스피 265위,16244822,500원  l  1주,16244822,965653,5.94%,N/A  l  N/A,"112,000  l  24,000",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"35.69배  l  1,485원","2.80배  l  18,928원",0.66%,,,,,
동국제약 *,25450.0,50.0,-0.20%,25650.0,25700.0,6475.0,164.0,141422.0,2021-07-30,동국제약,086450,"1조  1,159  억원",코스닥 53위,44460000,500원  l  1주,44460000,8318205,18.71%,"4.00매수  l  35,000","36,150  l  23,700",,N/A  l  N/A,,,104.30배,-1.44%,1476.0,180.0,138.0,12.2,9.35,,,,,307.0,82.98,,,,,,"20.83배  l  1,205원","2.68배  l  9,358원",0.72%,,,,,
휴럼 *,2375.0,5.0,-0.21%,2310.0,2380.0,22115.0,52.0,1938082.0,2021-07-30,휴럼,353190,681  억원,코스닥 1247위,27682521,100원  l  1주,27682521,44142,0.16%,N/A  l  N/A,"4,135  l  2,235",36.72배  l  67원,N/A  l  N/A,N/A  l  N/A,,125.27배,-1.44%,,,,,,,,,,,,,,,,,,,,,,,,
환인제약,21400.0,50.0,-0.23%,21200.0,21550.0,3395.0,72.0,39518.0,2021-07-30,환인제약,016580,"3,943  억원",코스피 417위,18600070,500원  l  1주,18600070,2703088,14.53%,"4.00매수  l  28,500","23,550  l  14,100",,N/A  l  N/A,,,104.30배,-1.44%,452.0,80.0,,17.68,,,,,,317.0,67.62,,,,,,"14.66배  l  1,446원","1.08배  l  19,650원",1.41%,,,,,
부광약품,20750.0,50.0,-0.24%,20850.0,20900.0,38476.0,798.0,1780023.0,2021-07-30,부광약품,003000,"1조  4,746  억원",코스피 178위,71063049,500원  l  1주,71063049,2546677,3.58%,N/A  l  N/A,"40,481  l  20,100",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -133원,"5.72배  l  3,630원",0.44%,,,,,
바이넥스 *,19050.0,50.0,-0.26%,18850.0,19100.0,15062.0,286.0,183406.0,2021-07-30,바이넥스,053030,"5,971  억원",코스닥 141위,31761048,500원  l  1주,31761048,2022596,6.37%,"4.00매수  l  36,000","39,400  l  13,150",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,44.98배  l  418원,"3.27배  l  5,747원",,,,,,
지놈앤컴퍼니 *,36600.0,100.0,-0.27%,36300.0,36650.0,5019.0,182.0,32513.0,2021-07-30,지놈앤컴퍼니,314130,"4,848  억원",코스닥 193위,13447465,500원  l  1주,13447465,46086,0.34%,N/A  l  N/A,"95,000  l  33,900","N/A  l  -2,688원",N/A  l  N/A,"4.71배  l  7,661원",,104.30배,-1.39%,,,,,,,,,,,,,,,,,,,,,,,,
코스맥스비티아이,17500.0,50.0,-0.28%,17650.0,17700.0,549.0,9.0,23960.0,2021-07-30,코스맥스비티아이,044820,"1,671  억원",코스피 685위,9603921,500원  l  1주,9603921,494654,5.15%,N/A  l  N/A,"25,700  l  14,900",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -221원,"0.56배  l  31,107원",1.15%,,,,,
휴메딕스 *,33800.0,100.0,-0.29%,33600.0,34050.0,2136.0,72.0,36504.0,2021-07-30,휴메딕스,200670,"3,300  억원",코스닥 316위,9971194,500원  l  1주,9971194,573906,5.76%,"4.00매수  l  45,333","44,600  l  20,350",,"18.00배  l  1,825원",,,104.30배,-1.44%,301.0,56.0,53.0,18.77,17.61,,,,,371.0,91.36,,,,,,"19.19배  l  1,725원","2.64배  l  12,521원",1.21%,,,,,
SK바이오사이언스,170500.0,500.0,-0.29%,173000.0,173500.0,117643.0,20227.0,760852.0,2021-07-30,SK바이오사이언스,302440,13조  50  억원,코스피 30위,76500000,500원  l  1주,76500000,3046993,3.98%,N/A  l  N/A,"190,000  l  111,500",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,"132.09배  l  1,287원","10.08배  l  16,870원",,,,,,
넥스트BT *,1645.0,5.0,-0.30%,1650.0,1655.0,53877.0,90.0,563541.0,2021-07-30,넥스트BT,065170,"1,434  억원",코스닥 746위,88239565,500원  l  1주,88239565,4331303,4.91%,N/A  l  N/A,"2,945  l  1,310",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -260원,2.14배  l  760원,,,,,,
뉴트리 *,33750.0,100.0,-0.30%,33850.0,33950.0,1515.0,51.0,63684.0,2021-07-30,뉴트리,270870,"3,035  억원",코스닥 345위,9113224,500원  l  1주,9113224,307220,3.37%,"4.00매수  l  48,000","43,350  l  18,900",,N/A  l  N/A,,,104.30배,-1.39%,715.0,100.0,79.0,13.93,11.09,,,,,779.0,43.45,,,,,,"13.28배  l  2,508원","3.85배  l  8,646원",0.75%,,,,,
대원제약,15900.0,50.0,-0.31%,15950.0,16000.0,734.0,11.0,23255.0,2021-07-30,대원제약,003220,"3,385  억원",코스피 465위,21224823,500원  l  1주,21224823,3482859,16.41%,"4.00매수  l  21,500","23,902  l  15,150",,N/A  l  N/A,,,104.30배,-1.44%,881.0,69.0,,7.83,,,,,,,,,,,,,159.50배  l  100원,"1.62배  l  9,834원",0.96%,,,,,
CMG제약 *,4890.0,15.0,-0.31%,4905.0,4910.0,65441.0,319.0,919856.0,2021-07-30,CMG제약,058820,"6,681  억원",코스닥 114위,138892244,500원  l  1주,138892244,8757715,6.31%,N/A  l  N/A,"7,100  l  4,040",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,"2,405.00배  l  2원","3.66배  l  1,316원",,,,,,
콜마비앤에이치 *,48300.0,150.0,-0.31%,48600.0,48650.0,3279.0,159.0,48075.0,2021-07-30,콜마비앤에이치,200130,"1조  4,137  억원",코스닥 39위,29543558,500원  l  1주,29543558,807736,2.73%,"4.00매수  l  71,000","72,900  l  47,600",,"15.00배  l  3,261원",,,104.30배,-1.44%,1947.0,329.0,,16.9,,,,,,982.0,49.36,,,,,,"16.96배  l  2,822원","4.19배  l  11,414원",0.67%,,,,,
아미노로직스 *,2995.0,10.0,-0.33%,3005.0,3020.0,24291.0,73.0,421365.0,2021-07-30,아미노로직스,074430,"2,578  억원",코스닥 414위,87826844,100원  l  1주,87826844,813505,0.93%,N/A  l  N/A,"4,355  l  1,825",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,75.26배  l  39원,4.73배  l  620원,,,,,,
셀트리온제약 *,143100.0,500.0,-0.35%,143600.0,143700.0,8156.0,1169.0,88625.0,2021-07-30,셀트리온제약,068760,"5조  1,055  억원",코스닥 4위,36546204,500원  l  1주,36546204,2697269,7.38%,N/A  l  N/A,"268,871  l  98,547",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,195.93배  l  713원,"16.84배  l  8,298원",,,,,,
프레스티지바이오파마,28450.0,100.0,-0.35%,28550.0,28600.0,9718.0,276.0,129760.0,2021-07-30,프레스티지바이오파마,950210,"1조  6,737  억원",코스피 166위,60096155,,60096155,38327250,63.78%,"4.00매수  l  40,000","54,000  l  24,200",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,9402.0,3.04,,,,,,,,,,N/A  l  -336원,"2.92배  l  9,552원"
셀트리온헬스케어 *,110600.0,400.0,-0.36%,110800.0,111000.0,37613.0,4167.0,345503.0,2021-07-30,셀트리온헬스케어,091990,"16조  8,320  억원",코스닥 1위,154990922,"1,000원  l  1주",154990922,26011344,16.78%,"4.00매수  l  142,500","177,100  l  79,827",,"52.00배  l  2,096원",,,104.30배,-1.39%,4463.0,950.0,634.0,21.29,14.21,,,,,395.0,280.87,,,,,,"85.85배  l  1,265원","8.44배  l  12,865원",,,,,,
삼진제약,27000.0,100.0,-0.37%,26800.0,27100.0,1069.0,28.0,21449.0,2021-07-30,삼진제약,005500,"3,767  억원",코스피 433위,13900000,"1,000원  l  1주",13900000,1969976,14.17%,"4.00매수  l  37,000","32,350  l  23,300",,N/A  l  N/A,,,104.30배,-1.44%,590.0,82.0,71.0,13.9,12.03,,,,,511.0,53.05,,,,,,"14.38배  l  1,884원","1.58배  l  17,103원",2.95%,,,,,
안국약품 *,13000.0,50.0,-0.38%,13000.0,13050.0,1071.0,14.0,23088.0,2021-07-30,안국약품,001540,"1,682  억원",코스닥 642위,13042420,500원  l  1주,13042420,520940,3.99%,N/A  l  N/A,"20,650  l  11,750",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -192원,"1.04배  l  12,452원",1.71%,,,,,
종근당,130500.0,500.0,-0.38%,131000.0,132000.0,2229.0,291.0,53099.0,2021-07-30,종근당,185750,"1조  4,740  억원",코스피 179위,11426099,"2,500원  l  1주",11426099,875149,7.66%,"4.00매수  l  176,875","273,774  l  125,000",,"20.00배  l  6,564원",,,104.30배,-1.39%,3344.0,285.0,209.0,8.52,6.25,,,,,,,,,,,,"16.60배  l  7,771원","2.66배  l  48,568원",0.74%,,,,,
지엘팜텍 *,1290.0,5.0,-0.39%,1300.0,1310.0,9686.0,12.0,213134.0,2021-07-30,지엘팜텍,204840,664  억원,코스닥 1257위,51886844,100원  l  1주,51886844,1094573,2.11%,N/A  l  N/A,"2,390  l  855",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -75원,5.18배  l  247원,,,,,,
